;Регион;Общая площадь;id;Название;Цена за кв.м;Цена;Адрес;Окончания подачи заявок;Кадастровый номер;Cтоимость чел/кв.м;Форма проведения;Имущество;Координаты;Жителей в округе;Коммерческих объектов;Описание коммерческих объектов;Жителей h3;H3 чел/кв.м 
10;77; 22,8 м2;21000005000000003185_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу:   (Этаж № 1); 128 509 ;2 930 000 ;г Москва, ул Введенского, д 16, помещ 1/1;12 09 22 12:00;77:06:0008001:2776;  13,39  ;EA;М;55.642479, 37.540425;9595;63;55.642479_37.540425.json;15713;  8,18  
11;77; 19,4 м2;21000005000000003182_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ., Этаж № 1; 128 299 ;2 489 000 ;г Москва, ул Генерала Глаголева, д 19;14 09 22 12:00;77:08:0010006:5866;  15,35  ;EA;М;55.78462, 37.462784;8359;53;55.78462_37.462784.json;11088;  11,57  
12;77; 83,8 м2;21000005000000003176_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ., Этаж № 1.; 90 943 ;7 621 000 ;г Москва, г Зеленоград, к 441;13 09 22 12:00;77:10:0000000:3322;  10,04  ;EA;М;55.993741, 37.210249;9057;122;55.993741_37.210249.json;6985;  13,02  
13;77; 39,7 м2;21000005000000003178_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу:   (Этаж № 1). ; 126 700 ;5 030 000 ;г Москва, ул Генерала Глаголева, д 19;14 09 22 12:00;77:08:0010006:5887;  15,16  ;EA;М;55.78462, 37.462784;8359;53;55.78462_37.462784.json;11088;  11,43  
14;77; 21,6 м2;21000005000000003175_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу:   (Этаж № 1); 104 167 ;2 250 000 ;г Москва, г Зеленоград, к 1403;14 09 22 12:00;77:10:0000000:2590;  11,58  ;EA;М;55.985116, 37.149873;8994;67;55.985116_37.149873.json;5850;  17,81  
15;58; 60,4 м2;21000025550000000050_11;Помещениеадрес: ; 21 689 ;1 310 000 ;Пензенская обл, Бессоновский р-н, село Кижеватово, ул Молодежная, д 28, кв 7;24 08 22 14:00;58:05:0160203:870, ;  14,12  ;EA;Д;53.208954, 45.305813;1536;3;53.208954_45.305813.json;323;  67,15  
16;12; 105,6 м2;21000025550000000056_6;Помещение нежилое .расположенное по адресу: , принадлежащее ООО «Компания «Чукшинский карьер».; 76 578 ;8 086 667 ;г Йошкар-Ола, б-р Ураева, д 6/1, помещ 4;06 09 22 14:00;12:05:0701006:6454, ;  10,59  ;EA;Д;56.638709, 47.93034;7230;25;56.638709_47.93034.json;3493;  21,92  
17;12; 10,7 м2;21000025550000000056_9;Помещение нежилое .расположенное по адресу: , принадлежащее ООО «Компания «Чукшинский карьер».; 78 972 ; 845 000 ;г Йошкар-Ола, б-р Ураева, д 6/1, помещ 1;06 09 22 14:00;12:05:0701006:6451, ;  10,92  ;EA;Д;56.638709, 47.93034;7230;25;56.638709_47.93034.json;3493;  22,61  
18;77; 17,8 м2;21000005000000003167_1;Продажа нежилого помещения, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенного по адресу:  (нежилое помещение ); 38 989 ; 694 000 ;г Москва, ул Лыковская 2-я, двлд 23 к 1, помещ 13;15 09 22 12:00;77:08:0013010:1203;  71,41  ;EA;М;55.782024, 37.392246;546;2;55.782024_37.392246.json;7337;  5,31  
19;77; 117,4 м2;21000005000000003050_1;Продажа нежилого помещения, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенного по адресу: ; 69 816 ;8 196 431 ;г Москва, ул Нижняя Первомайская, д 13, помещ 2/Н;12 09 22 12:00;77:03:0005014:11774;  4,13  ;EA;М;55.7912776, 37.7954093;16920;98;55.7912776_37.7954093.json;6721;  10,39  
20;50; 74,6 м2;21000004710000001510_1;Продажа нежилого помещения 74,6 кв.м. в г.о. Электрогорск; 40 812 ;3 044 600 ;Московская обл, г Электрогорск, ул Советская, д 35, помещ 8;02 09 22 15:00;50:17:0011505:498;  15,02  ;EA;М;55.868945, 38.782292;2718;24;55.868945_38.782292.json;1628;  25,07  
21;50; 156,6 м2;21000004710000000858_1;Продажа нежилого помещения 156,6 кв.м в г.о. Серпухов; 32 880 ;5 149 000 ;Московская обл, г Серпухов, ул Революции, д 21/67;02 09 22 15:00;50:58:0100402:377;  10,62  ;EA;М;54.915839, 37.421874;3096;59;54.915839_37.421874.json;3810;  8,63  
22;50; 165,5 м2;21000004710000000785_1;Продажа нежилого помещения 165,5 кв.м в г.о. Серпухов; 21 299 ;3 525 000 ;Московская обл, г Серпухов, ул Крюкова, д 1, помещ 3;02 09 22 15:00;50:58:0020101:155;  13,42  ;EA;М;54.933, 37.37951;1587;10;54.933_37.37951.json;1466;  14,53  
23;77; 36,4 м2;21000005000000002958_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ., Этаж № 1; 139 835 ;5 090 000 ;г Москва, ул Бутлерова, д 22, помещ 4/1;31 08 22 12:00;77:06:0008003:1052, ;  34,86  ;PP;М;55.649144, 37.534918;4011;45;55.649144_37.534918.json;14986;  9,33  
24;77; 13,3 м2;21000005000000002938_1;Продажа объекта нежилого фонда, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), по адресу: ; 159 925 ;2 127 000 ;г Москва, Ленинградское шоссе, д 8 к 1, помещ 3/1;29 08 22 12:00;77:09:0003018:10762;  27,56  ;EA;М;55.816696, 37.50204;5802;148;55.816696_37.50204.json;10445;  15,31  
25;16; 26,9 м2;21000029570000000011_1;Помещение 1002, нежилое, Этаж № 1; 21 521 ; 578 915 ;Респ Татарстан, пгт Алексеевское, ул Казакова, д 9Б;27 08 22 05:00;16:05:010504:438;  23,75  ;EA;М;55.30253, 50.10958;906;18;55.30253_50.10958.json;906;  23,75  
26;12; 476,6 м2;21000022630000000002_10;"Помещение, назначение – нежилое., количество этажей – 1, 2по адресу:  (1 этаж (поз. 2;20); 2 этаж (поз. 31-59)"; 2 248 ;1 071 400 ;Респ Марий Эл, пгт Морки, ул Мира, д 42, помещ 5;23 08 22 14:00;12:13:0990117:580, ;  0,98  ;EA;М;56.437214, 49.019527;2286;4;56.437214_49.019527.json;498;  4,51  
27;21; 154,3 м2;21000025550000000046_13;нежилое помещение, расположенное по адресу: ; 8 759 ;1 351 500 ;Чувашская республика - Чувашия, г Новочебоксарск, ул Промышленная, влд 78Д;15 08 22 14:00;21:02:000000:32513;  224,59  ;EA;Д;56.07907, 47.506935;39;14;56.07907_47.506935.json;3527;  2,48  
28;21; 138,0 м2;21000025550000000046_12;нежилое помещение, расположенное по адресу: ; 8 757 ;1 208 417 ;Чувашская республика - Чувашия, г Новочебоксарск, ул Промышленная, влд 78Д;15 08 22 14:00;21:02:000000:32517;  224,53  ;EA;Д;56.07907, 47.506935;39;14;56.07907_47.506935.json;3527;  2,48  
29;21; 126,3 м2;21000025550000000046_11;нежилое помещение, расположенное по адресу: , 46, 47; 8 317 ;1 050 458 ;г Чебоксары, ул Сельская, д 39, помещ 45;15 08 22 14:00;21:01:010103:544;  1,52  ;EA;Д;56.15064, 47.183184;5472;37;56.15064_47.183184.json;4337;  1,92  
30;50; 95,9 м2;21000004710000001306_1;Продажа нежилого помещения 95,9 кв.м. в г.о. Лыткарино; 32 369 ;3 104 167 ;Московская обл, г Лыткарино, ул Ухтомского, д 25, помещ 3;26 08 22 15:00;50:53:0020103:2581;  4,74  ;EA;М;55.574894, 37.900665;6834;28;55.574894_37.900665.json;3944;  8,21  
31;50; 35,4 м2;21000004710000001895_1;Продажа нежилого помещения 35,4 кв.м в г.о. Лыткарино; 56 497 ;2 000 000 ;Московская обл, г Лыткарино, ул Октябрьская, д 12, помещ 1;26 08 22 15:00;50:53:0010107:1524;  8,14  ;EA;М;55.576645, 37.908356;6939;43;55.576645_37.908356.json;4512;  12,52  
32;77; 67,1 м2;21000005000000002809_1;Продажа нежилого помещения, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенного по адресу: .; 90 373 ;6 064 000 ;г Москва, ул Старая Басманная, д 5 стр 1, помещ 1/П;24 08 22 12:00;77:01:0003008:3576;  7,17  ;EA;М;55.7645572, 37.6569216;12602;240;55.7645572_37.6569216.json;9190;  9,83  
33;77; 378,4 м2;22000034760000000167_1;В соответствии с Извещением.; 24 146 ;9 137 000 ;г Москва, ул Введенского, д 3 к 6, помещ 1;22 08 22 14:30;77:06:0008002:1155;  9,00  ;EA;М;55.64669, 37.54651;2682;8;55.64669_37.54651.json;14560;  1,66  
34;77; 128,0 м2;21000005000000002704_1;Продажа нежилого помещения, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенного по адресу: .; 39 273 ;5 027 000 ;г Москва, Дмитровское шоссе, д 115 к 1;19 08 22 12:00;77:02:0025016:1512;  4,97  ;EA;М;55.884403, 37.541566;7908;42;55.884403_37.541566.json;14037;  2,80  
35;77; 181,5 м2;21000005000000002696_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ; 43 796 ;7 949 000 ;г Москва, Петровско-Разумовский проезд, д 16, помещ 7П;23 08 22 12:00;77:09:0004011:6556, ;  3,32  ;PP;М;55.797574, 37.569468;13206;95;55.797574_37.569468.json;16854;  2,60  
36;77; 54,4 м2;21000005000000002687_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ., Этаж № 1; 124 210 ;6 757 000 ;г Москва, ул Бутлерова, д 22, помещ 5/1;24 08 22 12:00;77:06:0008003:1053, ;  30,97  ;PP;М;55.649144, 37.534918;4011;45;55.649144_37.534918.json;14986;  8,29  
37;16; 62,2 м2;22000052780000000006_1;Нежилые помещения № 1,2,3,4,5, расположенные на 2-м этаже, по адресу 422230, ; 14 405 ; 896 000 ;Респ Татарстан, г Агрыз, ул Г.Камала;14 08 22 05:00;16:01:110301:4410;  18,61  ;EA;М;56.52616, 52.982402;774;0;56.52616_52.982402.json;794;  18,14  
38;50; 26,6 м2;21000004710000001892_1;Продажа нежилого помещения 26,6 кв.м в Богородском г.о.; 55 263 ;1 470 000 ;Московская обл, г Ногинск, Рузинский проезд, д 4;26 08 22 15:00;50:16:0301004:2950;  22,81  ;EA;М;55.889523, 38.48255;2423;13;55.889523_38.48255.json;745;  74,18  
39;50; 29,6 м2;21000004710000001894_1;Продажа нежилого помещения 29,6 кв.м в Богородском г.о.; 54 054 ;1 600 000 ;Московская обл, г Ногинск, ул Московская, д 3;26 08 22 15:00;50:16:0402019:595;  62,56  ;EA;М;55.83291, 38.478302;864;18;55.83291_38.478302.json;485;  111,45  
40;50; 149,9 м2;21000004710000001893_1;Продажа нежилого помещения 149,9 кв.м в Богородском г.о.; 32 422 ;4 860 000 ;Московская обл, г Ногинск, ул Радченко, д 15, помещ 1;26 08 22 15:00;50:16:0302008:3674;  17,59  ;EA;М;55.844337, 38.414143;1843;17;55.844337_38.414143.json;740;  43,81  
41;50; 20,5 м2;21000004710000001891_1;Продажа нежилого помещения 20,5 кв.м в Богородском г.о.; 56 585 ;1 160 000 ;Московская обл, г Ногинск, ул Декабристов, д 110;26 08 22 15:00;50:16:0000000:67459;  21,26  ;EA;М;55.878666, 38.43054;2661;16;55.878666_38.43054.json;1219;  46,42  
42;50; 243,8 м2;21000004710000001886_1;Продажа нежилого помещения 243,8 кв.м. в Богородском г.о.; 30 845 ;7 520 000 ;Московская обл, г Ногинск, г Старая Купавна, проезд Текстильщиков, д 3/4, помещ 2;26 08 22 15:00;50:16:0602003:7604;  10,11  ;EA;М;55.807157, 38.166847;3051;48;55.807157_38.166847.json;1119;  27,56  
43;50; 74,2 м2;21000004710000001885_1;Продажа нежилого помещения 74,2 кв.м. в Богородском г.о.; 35 580 ;2 640 000 ;Московская обл, г Ногинск, ул Декабристов, д 108;26 08 22 15:00;50:16:0000000:66901;  11,37  ;EA;М;55.877705, 38.431175;3129;15;55.877705_38.431175.json;1219;  29,19  
44;77; 53,1 м2;21000005000000002756_1;Аукцион в электронной форме по продаже нежилого помещения, закреплённого за КП «УГС» на праве оперативного управления, по адресу: , этаж 1; 148 176 ;7 868 154 ;г Москва, Бескудниковский б-р, д 52 к 1, помещ 22Н;23 08 22 12:00;77:09:0002021:6695;  18,18  ;EA;М;55.8738384, 37.5390459;8151;67;55.8738384_37.5390459.json;13683;  10,83  
45;58; 60,1 м2;21000016520000000004_1;"помещение , назначение: нежилое; наименование: нежилое помещение; номер, тип этажа, на котором расположено помещение: этаж № 1; адрес: ; ."; 31 614 ;1 900 000 ;г Пенза, ул Пушанина, д 6;12 08 22 20:00;58:29:3008002:4765;  6,44  ;EA;М;53.132946, 45.015263;4911;13;53.132946_45.015263.json;3644;  8,68  
46;50; 48,6 м2;21000004710000002219_1;Продажа нежилого помещения 48,6 кв.м в г.о. Пушкинский; 38 796 ;1 885 500 ;Московская обл, г Пушкино, г Ивантеевка, ул Карла Маркса, д 1, помещ 197;16 08 22 15:00;50:43:0020301:649;  10,56  ;EA;М;55.967567, 37.916163;3675;44;55.967567_37.916163.json;4104;  9,45  
47;50; 335,2 м2;21000004710000001850_1;Продажа нежилого помещения 335,2 кв.м в г.о. Луховицы; 9 870 ;3 308 333 ;Московская обл, г Луховицы, поселок Сельхозтехника, д 24;25 08 22 15:00;50:35:0000000:20800;  11,08  ;EA;М;54.95581, 39.185681;891;2;54.95581_39.185681.json;115;  85,82  
48;77; 169,8 м2;21000005000000002598_1;Продажа нежилого помещения, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенного по адресу: ; 37 267 ;6 328 000 ;г Москва, ул Пулковская, д 3 к 3, помещ 2П;16 08 22 12:00;77:09:0001020:2318;  4,43  ;EA;М;55.84495, 37.481523;8418;45;55.84495_37.481523.json;8383;  4,45  
49;50; 138,6 м2;21000004710000002203_1;Продажа нежилого помещения 138,6  кв.м в Дмитровском г.о.; 32 293 ;4 475 792 ;Московская обл, г Дмитров, ул Космонавтов, д 52, помещ 19;17 08 22 15:00;50:04:0010202:6923;  6,89  ;EA;М;56.341003, 37.548286;4686;13;56.341003_37.548286.json;579;  55,77  
50;50; 163,7 м2;21000004710000002201_1;Продажа нежилого помещения 163,7 кв.м в Дмитровском г.о.; 31 730 ;5 194 125 ;Московская обл, г Дмитров, ул Космонавтов, д 52, помещ 18;17 08 22 15:00;50:04:0010202:6922;  6,77  ;EA;М;56.341003, 37.548286;4686;13;56.341003_37.548286.json;579;  54,80  
51;77; 91,3 м2;21000005000000002593_1;"Продажа имущества, находящегося в хозяйственном ведении ГУП ""ЦУГИ"", расположенного по адресу: "; 49 332 ;4 504 000 ;г Москва, ул 1-я Дубровская, д 5А, помещ 2/П;17 08 22 12:00;77:04:0001019:9656;  5,84  ;EA;М;55.72636, 37.671049;8451;57;55.72636_37.671049.json;10557;  4,67  
52;77; 206,8 м2;21000005000000002591_1;"Продажа имущества, находящегося в хозяйственном ведении ГУП ""ЦУГИ"", расположенного по адресу: "; 34 265 ;7 086 000 ;г Москва, ул Лётчика Бабушкина, д 38 к 2, помещ 1/П;16 08 22 12:00;77:02:0010009:3795;  5,47  ;EA;М;55.872243, 37.679323;6264;89;55.872243_37.679323.json;11588;  2,96  
53;77; 47,2 м2;21000005000000002573_1;Продажа нежилого помещения, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенного по адресу: .; 108 157 ;5 105 000 ;г Москва, Карманицкий пер, д 3А стр 4, помещ 3П;17 08 22 12:00;77:01:0001060:2215;  6,54  ;EA;М;55.748701, 37.5857;16530;305;55.748701_37.5857.json;9937;  10,88  
54;77; 214,4 м2;21000005000000002571_1;Продажа нежилого помещения, находящегося в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенного по адресу: .; 45 527 ;9 761 000 ;г Москва, ул Коминтерна, д 8, помещ 1П;17 08 22 12:00;77:02:0010008:4833;  3,78  ;EA;М;55.861974, 37.676825;12051;50;55.861974_37.676825.json;12544;  3,63  
55;77; 38,9 м2;21000005000000002507_1;Продажа нежилых помещений, находящихся в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенных по адресу:  .; 84 010 ;3 268 000 ;г Москва, ул Якорная, д 9;16 08 22 12:00;"77:05:0004009:13807; 77:05:0004009:13808";  9,14  ;EA;М;55.685158, 37.68641;9192;33;55.685158_37.68641.json;11129;  7,55  
56;50; 154,8 м2;21000004710000001786_1;Продажа нежилого помещения 154,8 кв.м в г.о. Электросталь; 26 718 ;4 136 000 ;Московская обл, г Электросталь, ул Первомайская, д 28, помещ 3;25 08 22 15:00;50:46:0010502:1775;  6,41  ;PP;М;55.796005, 38.443806;4170;36;55.796005_38.443806.json;4449;  6,01  
57;50; 99,2 м2;21000004710000001785_1;Продажа нежилого помещения 99,2 кв.м в г.о. Электросталь; 24 698 ;2 450 000 ;Московская обл, г Электросталь, ул Карла Маркса, д 26, помещ 05;25 08 22 15:00;50:46:0000000:5133;  52,44  ;PP;М;55.79628, 38.466183;471;51;55.79628_38.466183.json;4607;  5,36  
58;50; 171,8 м2;21000004710000002151_1;Продажа нежилого помещения 171,8 кв.м. в г.о. Коломна; 23 141 ;3 975 570 ;Московская область, р-н. Коломенский, д. Подлужье, ул. Луговая, д. 3;17 08 22 15:00;50:34:0050113:518;  122,44  ;EA;М;55.179987, 38.745605;189;0;55.179987_38.745605.json;70;  330,58  
59;50; 258,0 м2;21000004710000001768_1;Продажа нежилого помещения 258 кв.м в г.о. Павловский Посад; 13 872 ;3 579 000 ;Московская обл, г Павловский Посад, ул Орджоникидзе, д 3/1, помещ 1;18 08 22 15:00;50:17:0021502:30;  4,88  ;EA;М;55.77192, 38.656456;2841;30;55.77192_38.656456.json;1447;  9,59  
60;77; 80,5 м2;21000005000000002457_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: , цокольный этаж № 0; 69 602 ;5 603 000 ;г Москва, ул Первомайская, д 25/26, помещ 3/Н;15 08 22 12:00;77:03:0005004:5095;  5,71  ;EA;М;55.792716, 37.780194;12186;123;55.792716_37.780194.json;7156;  9,73  
61;50; 79,4 м2;21000004710000001722_1;Продажа нежилого помещения 79,4 кв.м в г.о. Кашира; 14 565 ;1 156 450 ;Московская область, Каширский район, г. Кашира, ул. Сергея Ионова, д. 3;16 08 22 15:00;50:37:0060613:128;  2,52  ;EA;М;54.848701, 38.248729;5778;29;54.848701_38.248729.json;1302;  11,19  
62;50; 82,0 м2;21000004710000001724_1;Продажа нежилого помещения 82 кв.м в г.о. Кашира; 15 487 ;1 269 950 ;Российская Федерация, Московская область, р-н городской округ Кашира, г. Кашира, ул. Клубная, д 1;16 08 22 15:00;50:37:0070116:828;  3,17  ;EA;М;54.851143, 38.245944;4878;29;54.851143_38.245944.json;1302;  11,89  
63;16; 563,7 м2;22000123210000000004_1;Нежилое помещение №1000; 1 163 ; 655 509 ;Респ Татарстан, г Тетюши, ул Ленина, д 37;06 09 22 14:00;16:38:130101:773;  2,20  ;EA;М;54.93757, 48.83902;528;6;54.93757_48.83902.json;520;  2,24  
64;21; 158,8 м2;21000025550000000054_11;1/2 общей долевой собственности на нежилое помещение № 10, расположенное на втором этаже двухэтажного кирпичного пристроя, расположенного по адресу: ; 12 827 ;2 037 000 ;г Чебоксары, ул Ломоносова, д 2, помещ 10;31 08 22 14:00;21:01:010607:257;  7,30  ;EA;Д;56.125862, 47.21173;1758;33;56.125862_47.21173.json;3859;  3,32  
65;77; 60,4 м2;21000005000000003130_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ., Этаж № 1; 111 076 ;6 709 000 ;г Москва, ул Нижняя Первомайская, д 53;12 09 22 12:00;77:03:0005014:11807 ;  6,93  ;PP;М;55.79225, 37.812588;16035;104;55.79225_37.812588.json;8197;  13,55  
66;50; 64,8 м2;21000004710000002063_1;Продажа нежилого помещения 64,8 кв.м. в г.о. Пушкинский; 28 426 ;1 842 000 ;Московская обл, г Пушкино, г Ивантеевка, Детский проезд, д 24, помещ 001;08 09 22 15:00;50:43:0030304:1156;  7,59  ;EA;М;55.97189, 37.9131;3744;37;55.97189_37.9131.json;4008;  7,09  
67;50; 30,9 м2;21000004710000002100_1;Продажа нежилого помещения 30,9 кв.м в г.о. Коломна; 31 543 ; 974 675 ;Московская обл, г Коломна, ул Октябрьской революции, д 154, кв 2;05 09 22 15:00;50:57:0000000:7243;  23,82  ;EA;М;55.107061, 38.743359;1324;8;55.107061_38.743359.json;2272;  13,88  
68;50; 694,3 м2;21000004710000002118_1;Продажа нежилого помещения 694,3 кв.м. в г.о. Луховицы; 9 002 ;6 250 333 ;Московская обл, г Луховицы, поселок Орешково, ул Парковая, д 2;07 09 22 15:00;50:35:0030405:1682;  9,61  ;EA;М;54.849313, 39.305731;937;3;54.849313_39.305731.json;144;  62,52  
69;16; 217,8 м2;21000026240000000020_2;помещения 1 этажа по ул.Главная, д.69б, пом.1004,; 6 720 ;1 463 616 ;г Казань, ул Главная, д 69б, помещ 1004;30 08 22 09:00;16:50:000000:10993;  3,01  ;EA;М;55.863985, 49.225845;2232;71;55.863985_49.225845.json;3983;  1,69  
70;16; 160,6 м2;21000026240000000020_1;помещения мансарды по ул.Галиаскара Камала, д.20/7, пом.1201; 46 032 ;7 392 700 ;г Казань, ул Галиаскара Камала, д 20/7, помещ 1201;30 08 22 09:00;16:50:011816:115;  18,35  ;EA;М;55.784577, 49.109118;2508;81;55.784577_49.109118.json;4266;  10,79  
71;77; 152,2 м2;21000005000000003084_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ; 48 390 ;7 365 030 ;г Москва, ул Мытная, д 25 к 1;08 09 22 12:00;77:01:0006007:3888 ;  4,24  ;PP;М;55.716473, 37.620393;11418;156;55.716473_37.620393.json;7121;  6,80  
72;77; 35,9 м2;21000005000000003066_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу:  , Этаж № 1; 148 997 ;5 349 000 ;г Москва, ул Генерала Белобородова, д 18, помещ 1/1;06 09 22 12:00;77:08:0002022:3598;  17,52  ;EA;М;55.834153, 37.356441;8502;103;55.834153_37.356441.json;10223;  14,57  
73;77; 106,1 м2;21000005000000003057_1;Продажа имущества, находящегося в собственности города Москвы, нежилое помещение по адресу: ., Этаж № 1.; 92 582 ;9 823 000 ;г Москва, г Зеленоград, к 146;06 09 22 12:00;77:10:0000000:2691;  10,31  ;EA;М;56.008817, 37.206737;8982;38;56.008817_37.206737.json;4580;  20,21  

